date,variable1,variable2
1994,462.4,40.9
1995,475.4,40.5
1996,482.9,40.2
1997,469.9,38.2
1998,469.8,37
1999,475.8,36.3
2000,488.5,35.9
2001,507.8,36.2
2002,533.5,37.2
2003,561.4,37.9
2004,591.3,38.3
2005,625.1,39.8
2006,646.8,39.8
2007,661,39.6
2008,681.7,39.9
2009,720.1,43.1
2010,737.3,45.3
2011,738.7,44.5
2012,726,43.1
2013,731.2,43.2
2014,720.4,41.6
